id,board_10,percentage_10,yop_10,rollno_10,board_12,percentage_12,yop_12,rollno_12,application_no,mains_rank
1,CBSE,135351,315531,135531,ISC,135531,135531,135351,4343131,10
10,CBSE,13232,321231,12231,CBSE,321123,123312,321321,123231231,100
2,CBSE,135351,351315,315351,CBSE,135,364,63634,4374774,20
3,ISC,12344,3456,7344,ISC,3457,3474,743473,244563,30
4,ISC,13434,341143,14343,Maharashtra Board,31143,31431,314341,31431,40
5,CBSE,3.123321e+06,412421,4124214,ISC,1.2424142e+07,412241,124142,412142142,50
6,CBSE,34413,34347,43774,CBSE,43773,347437,437473,4473,60
7,CBSE,121233,42624,246246,CBSE,4334,4343,6343645,4334654,70
8,CBSE,4334,437437,473437,ISC,473437,437437,347437,43347,80
9,CBSE,314124,341341,314134,ISC,314341,134341,413431,314341,90
